City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
353,shalqar,47.8333,59.6,32.99,74,100,20.0,KZ,1701237205
354,tchintabaraden,15.8969,5.7985,73.85,28,33,8.79,NE,1701237208
355,kimberley,-28.7323,24.7623,71.29,35,0,10.36,ZA,1701237209
356,kristiansund,63.1115,7.732,27.25,68,0,16.11,NO,1701237211
357,bamboo flat,11.7,92.7167,86.09,70,40,11.5,IN,1701237212
358,brookings,44.3114,-96.7984,34.05,74,0,10.36,US,1701236947
359,paphos,34.7667,32.4167,53.38,66,20,9.22,CY,1701237215
360,extrema,-22.8547,-46.3183,65.32,98,100,4.43,BR,1701237216
361,oro valley,32.3909,-110.9665,59.61,54,49,5.01,US,1701237218
362,fuyu,45.1833,124.8167,9.07,76,61,9.28,CN,1701237219
363,anadyr,64.75,177.4833,18.1,92,75,4.47,RU,1701237220
